  0, 33.08
  0, 33.11
  0, 32.88
  0, 32.84
  0, 32.69
  0, 32.47
  0, 32.45
  0, 31.92
  0, 31.67
  0, 31.04
  0, 30.32
  0, 30.17
  0, 29.51
  0, 29.27
  0, 28.84
  0, 28.21
  0, 27.86
  0, 27.60
  0, 27.40
  0, 26.90
  1, 26.31
  1, 25.66
  0, 25.61
  0, 24.88
  0, 24.81
  0, 24.32
  0, 24.06
  0, 23.35
  0, 22.89
  0, 22.67
  1, 22.58
  0, 22.02
  0, 21.66
  1, 21.24
  0, 20.73
  0, 20.52
  0, 20.03
  1, 19.91
  0, 19.26
  0, 18.58
  0, 17.90
  1, 17.41
  0, 16.59
  1, 16.37
  1, 15.78
  1, 15.44
  1, 14.55
  2, 13.77
  1, 13.09
  1, 12.78
  2, 11.66
  2, 11.62
  2, 11.61
  2, 10.60
  3, 10.43
  3, 9.87
  3, 9.70
  3, 9.04
  4, 8.55
  4, 8.73
  4, 8.63
  5, 8.22
  5, 8.02
  4, 7.35
  5, 7.41
  7, 7.10
  7, 6.52
  8, 6.21
 10, 6.28
 10, 5.62
 10, 5.41
 12, 5.11
 14, 4.84
 16, 4.48
 16, 4.39
 17, 4.38
 20, 4.09
 21, 3.99
 20, 4.02
 23, 3.76
 24, 3.61
 28, 3.39
 34, 3.17
 36, 3.12
 47, 2.74
 58, 2.96
 58, 3.37
 60, 2.90
 74, 2.74
 88, 2.59
 91, 2.57
 95, 2.49
